dominant_category,refactoring_count_mean,refactoring_count_median,refactoring_count_count,sqale_delta_mean,sqale_delta_median,sqale_delta_count,smells_delta_mean,smells_delta_median,smells_delta_count,complexity_delta_mean,complexity_delta_median,complexity_delta_count
Modifier,20.0357476635514,3.0,4280,-205.85323110624316,1.0,1826,-9.833515881708653,0.0,1826,-39.323287671232876,0.0,1825
Move,11.047985781990521,2.0,1688,-33.371848739495796,0.0,952,-2.944327731092437,0.0,952,-0.990546218487395,0.0,952
Other,11.36130536130536,2.0,858,282.57943925233644,0.0,428,14.320093457943925,0.0,428,27.397196261682243,2.0,428
Rename,11.878055404671374,2.0,3682,341.85977482088026,4.0,1954,19.224667349027637,0.0,1954,60.26765609007165,2.0,1954
Signature,8.925414364640885,3.0,4344,236.26153136531366,14.0,2168,16.72647601476015,1.0,2168,47.638376383763834,4.0,2168
Structural,10.619463632669646,2.0,4922,82.88919449901768,18.0,2545,7.6235756385068765,2.0,2545,4.28958742632613,5.0,2545
TypeChange,17.897504737839544,5.0,6332,55.853896103896105,0.0,3388,6.537780401416765,0.0,3388,15.802480070859167,1.0,3387
