project_id,refactoring_count_mean,refactoring_count_median,refactoring_count_sum,refactoring_count_count,sqale_before_mean,sqale_before_median,sqale_before_sum,sqale_before_count,sqale_after_mean,sqale_after_median,sqale_after_sum,sqale_after_count,sqale_delta_mean,sqale_delta_median,sqale_delta_sum,sqale_delta_count,smells_before_mean,smells_before_median,smells_before_sum,smells_before_count,smells_after_mean,smells_after_median,smells_after_sum,smells_after_count,smells_delta_mean,smells_delta_median,smells_delta_sum,smells_delta_count,complexity_delta_mean,complexity_delta_median,complexity_delta_sum,complexity_delta_count,bugs_delta_mean,bugs_delta_median,bugs_delta_sum,bugs_delta_count
org.apache:configuration,9.343825665859564,3.0,7718,826,29345.46017699115,31214.0,23212259.0,791,29386.274336283186,31214.0,23244543.0,791,40.8141592920354,0.0,32284.0,791,1490.8710493046776,1580.0,1179279.0,791,1492.5372945638433,1579.0,1180597.0,791,1.6662452591656132,0.0,1318.0,791,5.7812895069532235,1.0,4573.0,791,0.007585335018963337,0.0,6.0,791
org.apache:daemon,5.647058823529412,2.0,96,17,3205.5833333333335,3639.0,38467.0,12,3164.9166666666665,3517.0,37979.0,12,-40.666666666666664,-30.0,-488.0,12,261.9166666666667,287.0,3143.0,12,262.75,286.5,3153.0,12,0.8333333333333334,0.0,10.0,12,1.6666666666666667,0.5,20.0,12,0.0,0.0,0.0,12
org.apache:dbcp,10.404580152671755,2.0,4089,393,14749.50655021834,15008.0,3377637.0,229,14757.83406113537,15013.0,3379544.0,229,8.327510917030567,0.0,1907.0,229,1663.0524017467249,1821.0,380839.0,229,1665.6899563318777,1821.0,381443.0,229,2.6375545851528384,0.0,604.0,229,4.85589519650655,0.0,1112.0,229,-0.017467248908296942,0.0,-4.0,229
org.apache:dbutils,7.619718309859155,2.0,541,71,4856.228070175439,4939.0,276805.0,57,4912.754385964912,5390.0,280027.0,57,56.526315789473685,0.0,3222.0,57,224.40350877192984,230.0,12791.0,57,226.5438596491228,230.0,12913.0,57,2.1403508771929824,0.0,122.0,57,5.456140350877193,0.0,311.0,57,-0.05263157894736842,0.0,-3.0,57
org.apache:digester,8.521186440677965,2.0,2011,236,19283.656652360514,22326.0,4493092.0,233,19311.798283261804,22366.0,4499649.0,233,28.141630901287552,0.0,6557.0,233,957.137339055794,1168.0,223013.0,233,958.1158798283262,1168.0,223241.0,233,0.9785407725321889,0.0,228.0,233,3.6147186147186146,0.0,835.0,231,0.030042918454935622,0.0,7.0,233
org.apache:felix,10.341152620909353,3.0,35708,3453,150420.82795698923,109623.5,111913096.0,744,150580.24193548388,109626.0,112031700.0,744,159.41397849462365,10.0,118604.0,744,18054.344086021505,15925.0,13432432.0,744,18072.978494623654,15928.0,13446296.0,744,18.634408602150536,1.0,13864.0,744,27.135752688172044,4.0,20189.0,744,0.8978494623655914,0.0,668.0,744
org.apache:hive,23.719243930259083,3.0,145565,6137,424394.9326119036,483266.0,862794898.0,2033,422397.227610094,480941.0,853664797.0,2021,230.65692695214105,43.0,457854.0,1985,36040.2174126906,40056.0,73269762.0,2033,35869.27511133102,40017.0,72491805.0,2021,18.73551637279597,3.0,37190.0,1985,54.535012594458436,12.0,108252.0,1985,0.17934508816120906,0.0,356.0,1985
org.apache:httpclient,13.319395017793594,3.0,14971,1124,50806.42197802198,57343.5,46233844.0,910,50888.92197802198,57728.0,46308919.0,910,82.5,7.5,75075.0,910,2555.1,2865.0,2325141.0,910,2558.120879120879,2859.5,2327890.0,910,3.020879120879121,1.0,2749.0,910,8.775824175824177,3.0,7986.0,910,0.01868131868131868,0.0,17.0,910
org.apache:httpcore,14.658227848101266,4.0,17370,1185,37749.003169572105,30063.0,23819621.0,631,37896.78129952456,30114.0,23912869.0,631,98.04285714285714,20.0,61767.0,630,1758.6228209191759,1542.0,1109691.0,631,1764.0760697305864,1542.0,1113132.0,631,4.004761904761905,1.0,2523.0,630,14.014285714285714,4.0,8829.0,630,0.01746031746031746,0.0,11.0,630
org.apache:jxpath,9.147540983606557,2.0,1116,122,28694.27049180328,29825.0,3500701.0,122,28705.852459016394,29837.0,3502114.0,122,11.581967213114755,10.0,1413.0,122,2641.811475409836,2715.0,322301.0,122,2640.0491803278687,2715.0,322086.0,122,-1.7622950819672132,1.0,-215.0,122,12.459016393442623,7.0,1520.0,122,-0.06557377049180328,0.0,-8.0,122
org.apache:net,6.3765822784810124,2.0,2015,316,24133.747211895912,23583.0,6491978.0,269,24067.5468164794,23535.0,6426035.0,267,20.0,0.0,5320.0,266,1736.4684014869888,1685.0,467110.0,269,1730.2996254681648,1682.0,461990.0,267,1.3082706766917294,0.0,348.0,266,2.4473684210526314,1.0,651.0,266,-0.015037593984962405,0.0,-4.0,266
org.apache:ognl,9.065868263473053,2.0,1514,167,29768.11111111111,33825.5,4822434.0,162,29757.734567901236,33829.0,4820753.0,162,-10.376543209876543,0.0,-1681.0,162,1766.5493827160494,2213.0,286181.0,162,1764.9135802469136,2213.0,285916.0,162,-1.6358024691358024,0.0,-265.0,162,-1.4444444444444444,0.0,-234.0,162,-0.012345679012345678,0.0,-2.0,162
org.apache:santuario,15.030874785591767,4.0,8763,583,79066.49613899614,86284.5,40956445.0,518,78952.06358381503,85073.0,40976121.0,519,100.96686159844054,1.0,51796.0,513,10805.415057915057,12976.0,5597205.0,518,10804.718689788055,12976.0,5607649.0,519,25.42495126705653,0.0,13043.0,513,8.758284600389864,3.0,4493.0,513,0.0,0.0,0.0,513
org.apache:thrift,7.283687943262412,2.0,1027,141,15511.925373134329,14229.0,1039299.0,67,15397.538461538461,13975.0,1000840.0,65,15.34375,0.0,982.0,64,1388.0149253731342,1358.0,92997.0,67,1374.2,1333.0,89323.0,65,-0.875,0.0,-56.0,64,10.140625,1.0,649.0,64,0.03125,0.0,2.0,64
org.apache:validator,6.0520231213872835,2.0,1047,173,10288.435897435897,8191.5,1604996.0,156,10323.75641025641,8188.0,1610506.0,156,35.32051282051282,0.0,5510.0,156,536.9038461538462,463.0,83757.0,156,537.8269230769231,464.5,83901.0,156,0.9230769230769231,0.0,144.0,156,1.5064102564102564,0.0,235.0,156,0.01282051282051282,0.0,2.0,156
org.apache:vfs,7.903276131045242,2.0,5066,641,19194.96179775281,22819.0,8541758.0,445,19235.28764044944,22819.0,8559703.0,445,40.325842696629216,0.0,17945.0,445,1085.5123595505618,1247.0,483053.0,445,1087.629213483146,1247.0,483995.0,445,2.1168539325842697,0.0,942.0,445,8.224719101123595,1.0,3660.0,445,0.0,0.0,0.0,445
org.apache:zookeeper,10.927973199329983,3.0,6524,597,59853.943396226416,59537.0,3172259.0,53,59922.48148148148,59659.0,3235814.0,54,127.21153846153847,27.0,6615.0,52,4333.226415094339,4349.0,229661.0,53,4334.351851851852,4346.0,234055.0,54,3.5961538461538463,3.0,187.0,52,18.346153846153847,10.5,954.0,52,0.019230769230769232,0.0,1.0,52
