project,domain,period,commits_in_window,sqale_high_min,sqale_low_min,debt_removed_min,debt_removed_h,debt_removed_pct,loc_delta,loc_change_pct,high_debt_url,low_debt_url
httpcore,HTTP transport layer,Jul 2008 → Oct 2009,59,40664,36881,3783,63.0,9.3,0,0.0,https://github.com/apache/httpcomponents-core/commit/68e7d5d8311b5921646027b64dfbd4ad6d0dcd1d,https://github.com/apache/httpcomponents-core/commit/cf1fb0fa6b53e03fdf57f38ca74565bf30ca8878
httpclient,HTTP client library,Oct 2008 → Mar 2009,31,31743,26463,5280,88.0,16.6,0,0.0,https://github.com/apache/httpcomponents-client/commit/0cdd9b7fc215bcf99b3d5dd92dcdc2d60a204110,https://github.com/apache/httpcomponents-client/commit/8e409a71d1b024911c6753ac264611f5e44926e1
batik,SVG rendering engine,Jan 2001 → Mar 2001,94,118867,109029,9838,164.0,8.3,5,0.0,https://github.com/apache/xmlgraphics-batik/commit/0f2145d5b1ab42c37915d0f71cbdde9c18e91d35,https://github.com/apache/xmlgraphics-batik/commit/38b4e50f5a20de13b5c52a4d81dda3fa3ccd9a7a
configuration,Configuration management library,Jan 2013 → Aug 2013,152,36624,34309,2315,38.6,6.3,0,0.0,https://github.com/apache/commons-configuration/commit/f877e6fd8bf83117e225301d648f6d35d208868a,https://github.com/apache/commons-configuration/commit/5d0135fa0e7e02f410696bea2df792bd01ac63a5
cayenne,ORM framework,Jan 2008 → Feb 2008,26,215688,213566,2122,35.4,1.0,-5,0.0,https://github.com/apache/cayenne/commit/d9ddb8b4be2b367ceeb68e8578deac053322d507,https://github.com/apache/cayenne/commit/e9fc52eafe9bd838c937e311d122997f4b06aaca
